n	m	jnm_deri
22	19	89.158736
32	15	89.225889
27	17	89.346058
13	23	89.369284
56	7	89.395048
78	2	89.471589
86	1	89.585073
11	24	89.640757
20	20	89.646746
35	14	89.677841
68	4	89.711636
60	6	89.820516
9	25	89.865511
53	8	89.887333
64	5	89.951595
25	18	89.961146
30	16	89.979218
38	13	90.023237
73	3	90.029433
7	26	90.044367
18	21	90.082797
5	27	90.177964
50	9	90.2002
41	12	90.256536
3	28	90.266772
1	29	90.3111
47	10	90.355833
44	11	90.370525
16	22	90.468691
33	15	90.513881
79	2	90.516543
23	19	90.519823
57	7	90.54107
87	1	90.598798
28	17	90.669703
69	4	90.80068
14	23	90.805949
36	14	90.946851
61	6	90.947771
21	20	91.024621
54	8	91.050622
65	5	91.059984
12	24	91.09585
74	3	91.097447
39	13	91.273823
31	16	91.28287
26	18	91.300905
10	25	91.339459
51	9	91.380653
19	21	91.477698
42	12	91.489153
8	26	91.537642
48	10	91.553487
80	2	91.561135
45	11	91.585532
88	1	91.612418
58	7	91.685666
6	27	91.691092
34	15	91.798279
4	28	91.800331
2	29	91.865729
24	19	91.875842
17	22	91.880893
0	29	91.887504
70	4	91.888947
29	17	91.989074
62	6	92.073831
75	3	92.164892
66	5	92.167393
55	8	92.212275
37	14	92.212622
15	23	92.235764
22	20	92.397084
40	13	92.521492
13	24	92.543632
52	9	92.55925
32	16	92.582665
81	2	92.605372
89	1	92.625935
27	18	92.636093
43	12	92.719151
49	10	92.749048
46	11	92.798192
11	25	92.8056
59	7	92.828873
20	21	92.866823
71	4	92.976451
9	26	93.022583
35	15	93.079195
7	27	93.195316
63	6	93.198726
25	19	93.226978
76	3	93.23178
67	5	93.273843
18	22	93.286931
30	17	93.304316
5	28	93.324375
56	8	93.372335
3	29	93.410183
1	30	93.453018
38	14	93.475252
90	1	93.639353
82	2	93.649261
16	23	93.659006
53	9	93.736038
23	20	93.764335
41	13	93.766332
33	16	93.878729
50	10	93.942572
44	12	93.946605
28	18	93.966866
60	7	93.970723
14	24	93.984404
47	11	94.008572
72	4	94.06321
21	21	94.250388
12	25	94.264269
77	3	94.298121
64	6	94.322481
36	15	94.356739
68	5	94.379357
10	26	94.499554
57	8	94.53084
26	19	94.573403
31	17	94.615566
91	1	94.652671
19	22	94.687045
8	27	94.691039
83	2	94.69281
39	14	94.734837
6	28	94.839346
54	9	94.911064
4	29	94.944948
2	30	95.008177
42	13	95.008426
0	30	95.029232
17	23	95.075936
61	7	95.111249
24	20	95.126561
51	10	95.134113
73	4	95.149239
34	16	95.17118
45	12	95.171587
48	11	95.216733
29	18	95.293376
78	3	95.363928
15	24	95.418453
65	6	95.445123
69	5	95.483954
22	21	95.6286
37	15	95.631014
92	1	95.665893
58	8	95.687829
13	25	95.715775
84	2	95.736024
27	19	95.915278
32	17	95.922954
11	26	95.968895
40	14	95.991466
20	22	96.081457
55	9	96.084371
9	27	96.178632
74	4	96.234555
43	13	96.247851
62	7	96.250483
52	10	96.323723
7	28	96.345651
46	12	96.394164
49	11	96.422734
79	3	96.429211
35	16	96.460131
5	29	96.470471
25	20	96.483939
18	23	96.486797
3	30	96.553476
66	6	96.566678
70	5	96.587654
1	31	96.594915
30	18	96.615763
93	1	96.679019
85	2	96.778911
59	8	96.843339
